"Estadísticas, Proyecciones e Impacto Digital 5 Años - Municipios PBA",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,,,,,,,,,,
Población Total Cobertura,Impacto Financiero Total Proyectado Año 5,Madurez Promedio Actual,Madurez Proyectada Año 5,,,,,,,
2299900,32743.6,0.524,0.95,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Sección,Cant. Municipios,Población Total,Madurez Actual (Año 0),Año 1,Año 2,Año 3,Año 4,Año 5,Brecha de Impacto,Impacto Financiero Anual Año 5 ($ M ARS)
Primera,3,49000,0.57,0.72,0.827,0.893,0.937,0.95,0.43,655.65
Segunda,11,343000,0.562,0.715,0.825,0.892,0.936,0.95,0.438,4986.04
Tercera,4,109000,0.545,0.704,0.818,0.889,0.934,0.95,0.455,1458.86
Cuarta,18,575000,0.53,0.695,0.812,0.886,0.932,0.95,0.47,7873.07
Quinta,25,569900,0.527,0.693,0.811,0.885,0.931,0.95,0.473,8018.93
Sexta,21,501000,0.489,0.668,0.796,0.878,0.926,0.95,0.511,7796.19
Séptima,6,153000,0.545,0.704,0.818,0.889,0.934,0.95,0.455,1954.86
TOTAL GENERAL,88,2299900,0.524,0.691,0.81,0.884,0.931,0.95,0.476,32743.6
