ID_Municipios,Municipios,Medios_Oficial,Medios_Alternativos
MUN-BA-001,Chascomús,Municipalidad de Chascomús,"El Fuerte Diario, El Cronista de Chascomús, Infozona"
MUN-BA-002,Rauch,Municipalidad de Rauch,"El Diario de Rauch, La Nueva Verdad de Rauch, Rauch News"
MUN-BA-003,Magdalena,Municipalidad de Magdalena,"Magdalena Web, Data Magdalena, El Portal de Magdalena"
MUN-BA-004,Navarro,Municipalidad de Navarro,Navarro Noticias
MUN-BA-005,Suipacha,Municipalidad de Suipacha,Diario Suipacha
MUN-BA-006,General Las Heras,Municipalidad de General Las Heras,"Info Las Heras, Las Heras Noticias"
MUN-BA-007,Salto,Municipalidad de Salto,InfoSalto
MUN-BA-008,Baradero,Municipalidad de Baradero,"Baradero Te Informa, Baradero Hoy"
MUN-BA-009,Exaltación de la Cruz,Municipalidad de Exaltación de la Cruz,"Noticias Exaltación, La Gaceta de Exaltación"
MUN-BA-010,Ramallo,Municipalidad de Ramallo,"Ramallo Informa, Ramallo City, Ramallo Ciudad"
MUN-BA-011,Arrecifes,Municipalidad de Arrecifes,Diario UNO Arrecifes
MUN-BA-012,Colón,Municipio de Colón,Colón Virtual
MUN-BA-013,San Antonio de Areco,Municipalidad de San Antonio de Areco,"Días de Areco, Bosco Producciones, Areco Ciudad"
MUN-BA-014,Rojas,Municipio de Rojas,"El Portal de Rojas, Hoy Rojas"
MUN-BA-015,San Andrés de Giles,Municipalidad de San Andrés de Giles,"Infociudad, Noticias Gilenses, La Libertad"
MUN-BA-016,Carmen de Areco,Municipalidad de Carmen de Areco,Carmen de Areco Noticias
MUN-BA-017,Capitán Sarmiento,Municipalidad de Capitán Sarmiento,Sarmiento Diario
MUN-BA-018,Lobos,Municipalidad de Lobos,"Infolobos, Lobos 24, La Palabra de Lobos"
MUN-BA-019,Brandsen,Municipalidad de Brandsen,"InfoBrandsen, Noticias Brandsen"
MUN-BA-020,Punta Indio,Municipalidad de Punta Indio,El Colono de Punta Indio
MUN-BA-021,Chivilcoy,Municipalidad de Chivilcoy,"La Razón de Chivilcoy, HoyChivilcoy"
MUN-BA-022,Chacabuco,Municipalidad de Chacabuco,Chacabuco en Red
MUN-BA-023,9 de Julio,Municipalidad de 9 de Julio,"Diario El 9 de Julio, Cadena Nueve"
MUN-BA-024,Trenque Lauquen,Municipalidad de Trenque Lauquen,DataTrenque
MUN-BA-025,Bragado,Municipalidad de Bragado,Bragado TV
MUN-BA-026,Pehuajó,Municipalidad de Pehuajó,Diario Noticias Pehuajó
MUN-BA-027,Lincoln,Municipalidad de Lincoln,La Posta del Noroeste
MUN-BA-028,General Villegas,Municipalidad de General Villegas,"Diario Actualidad, Distrito Interior"
MUN-BA-029,General Viamonte,Municipalidad de General Viamonte,"Viamonte Digital, Periódico Impacto"
MUN-BA-030,Carlos Casares,Municipalidad de Carlos Casares,CasaresHoy
MUN-BA-031,Rivadavia,Municipalidad de Rivadavia,"Master News, Rivadavia Online"
MUN-BA-032,General Arenales,Municipalidad de General Arenales,"InfoArenales, C7N Digital"
MUN-BA-033,Alem,Municipalidad de Leandro N. Alem,El Vediense
MUN-BA-034,Carlos Tejedor,Municipalidad de Carlos Tejedor,Tejedor Noticias
MUN-BA-035,Alberti,Municipalidad de Alberti,Diario El Salado
MUN-BA-036,General Pinto,Municipalidad de General Pinto,Distrito Interior
MUN-BA-037,Hipólito Yrigoyen,Municipalidad de Hipólito Yrigoyen,Hendersonline
MUN-BA-038,Florentino Ameghino,Gobierno de Florentino Ameghino,"Diario Democracia (Ameghino), La Brújula Web"
MUN-BA-039,Balcarce,Municipalidad de Balcarce,"El Diario Balcarce, Diario La Vanguardia, Infórmese Primero"
MUN-BA-040,General Alvarado,Municipalidad de General Alvarado,"El Diario de Miramar, Noticias Miramar, El Semanario Miramar"
MUN-BA-041,Pinamar,Municipalidad de Pinamar,"Pinamardiario, Diario El Mensajero de la Costa, El Pionero"
MUN-BA-042,Villa Gesell,Municipalidad de Villa Gesell,"Sector Informativo, Minuto G"
MUN-BA-043,Mar Chiquita,Municipalidad de Mar Chiquita,El Ciudadano de Mar Chiquita
MUN-BA-044,Dolores,Municipalidad de Dolores,"Compromiso Diario, Criterio Online"
MUN-BA-045,Las Flores,Gobierno Municipal de Las Flores,Noticias Las Flores
MUN-BA-046,San Miguel del Monte,Municipalidad de Monte,"Monte 24 Noticias, Monte al Día, La Voz De Monte"
MUN-BA-047,General Madariaga,Municipalidad de General Madariaga,"CNM - Central de Noticias Madariaga, Diario El Mensajero de la Costa"
MUN-BA-048,Ayacucho,Municipalidad de Ayacucho,"La Verdad de Ayacucho, Ayacucho al Día, Urgente Ayacucho"
MUN-BA-049,General Belgrano,Municipalidad de General Belgrano,General Belgrano Gobierno Municipal
MUN-BA-050,Lobería,Municipalidad de Lobería,"2261 Noticias de Lobería, Radio Ciudad Lobería"
MUN-BA-051,General Paz,Municipalidad de General Paz,"Multimedio Digital, Grupo Tiempo Digital"
MUN-BA-052,Maipu,Municipalidad de Maipú,Semana Maipuense
MUN-BA-053,Castelli,Municipalidad de Castelli,Castelli Diario
MUN-BA-054,San Cayetano,Municipalidad de San Cayetano,CayNet Noticias de San Cayetano
MUN-BA-055,Lezama,Municipalidad de Lezama,"InfoZona, Criterio Online, El Fuerte Diario"
MUN-BA-056,General Lavalle,Municipalidad de General Lavalle,"Noticias General Lavalle, Faro Noticias, Costa de Noticias"
MUN-BA-057,Pila,Municipalidad de Pila,"Pila En La Noticia, InfoZona"
MUN-BA-058,General Guido,Municipalidad de General Guido,"Criterio Online, La Noticia 1"
MUN-BA-059,Tordillo,Municipalidad de Tordillo,"InfoZona, Criterio Online"
MUN-BA-060,Coronel Rosales,Municipalidad de Coronel Rosales,"El Rosalenio Digital, La Nueva"
MUN-BA-061,Tres Arroyos,Municipalidad de Tres Arroyos,"LU24 Radio Tres Arroyos, La Voz del Pueblo, Onda Uno Tres Arroyos"
MUN-BA-062,Coronel Suárez,Municipalidad de Coronel Suárez,"La Nueva Radio Suárez, Diario Nuevo Día"
MUN-BA-063,Patagones,Municipalidad de Patagones,"Mapuchito Noticias, NoticiasNet"
MUN-BA-064,Villarino,Municipio de Villarino,"Info Villarino, La Nueva"
MUN-BA-065,Coronel Pringles,Municipalidad de Coronel Pringles,"El Diario de Pringles, El Orden de Pringles"
MUN-BA-066,Benito Juárez,Municipalidad de Benito Juárez,"Diario El Fénix, El Eco de Tandil"
MUN-BA-067,Saavedra,Municipalidad de Saavedra Pigüé,"Semanario Reflejos, Ciudad Noticias Pigüé"
MUN-BA-068,Adolfo Alsina,Municipalidad de Adolfo Alsina,"Cambio 2000 Carhué, Diario de Rivera"
MUN-BA-069,Daireaux,Municipalidad de Daireaux,"Radio Más Daireaux, DeroNoticias"
MUN-BA-070,Puán,Municipalidad de Puan,"Todo Puan, Diario Puan"
MUN-BA-071,Coronel Dorrego,Municipalidad de Coronel Dorrego,"El Portal Dorrego, La Dorrego AM 1470"
MUN-BA-072,Tornquist,Tornquist Municipio,Noticias Tornquist
MUN-BA-073,Gonzales Cháves,Municipalidad de Adolfo Gonzales Chaves,"El Nuevo Heraldo, Chaves Digital"
MUN-BA-074,Guaminí,Municipalidad de Guaminí,"La Región Web - Guaminí, Diario de Rivera - Guaminí"
MUN-BA-075,General La Madrid,Municipalidad de General La Madrid,InfoGL
MUN-BA-076,Laprida,Municipalidad de Laprida,Laprida Noticias
MUN-BA-077,Salliqueló,Municipio de Salliqueló,El Informador - Salliqueló
MUN-BA-078,Tres Lomas,Municipalidad de Tres Lomas,"FM Amanecer - Tres Lomas, La Región Web - Tres Lomas"
MUN-BA-079,Monte Hermoso,Municipio de Monte Hermoso,Noticias Monte Hermoso
MUN-BA-080,Pellegrini,Municipalidad de Pellegrini,"Portal Pellegrinense, La Región Web - Pellegrini"
MUN-BA-081,Bolívar,Municipalidad del Partido de Bolívar,Bolivarhoy
MUN-BA-082,Saladillo,Municipalidad de Saladillo,"La Síntesis, CN Saladillo, ABC Saladillo Noticias"
MUN-BA-083,Veinticinco de Mayo,Municipio de 25 de Mayo,"La Mañana - El diario de 25 de Mayo, Portal de 25 de Mayo (Web25)"
MUN-BA-084,Roque Pérez,Municipalidad de Roque Pérez,"infoEL38, Metanoia Digital, RPerezNet Online"
MUN-BA-085,General Alvear,Municipalidad de General Alvear (PBA),"Alvear Noticias, Alvear Ya"
MUN-BA-086,Tapalque,Municipalidad de Tapalqué,Tapalqué SIBOM
