id_municipio,municipio,poblacion,canal_actual,costo_social_min,costo_social_central,costo_social_max,costo_por_habitante,evidencia,url,advertencia
MUN-BA-023,9 de Julio,52607,presencial,59435389,237741554,1109460587,4519,"Las vacunaciones se realizan de lunes a viernes de 8 a 18, por orden de llegada",https://www.9dejulio.gov.ar/noticia.php?id=9641,ESTIMACION con supuestos sin fuente - no es ahorro fiscal
MUN-BA-024,Trenque Lauquen,49499,telefono,55923970,223695881,1043914110,4519,"Hospital ""Pedro T. Orellana"" Castelli 150 Tel: (02392) 410511/13",https://www.trenquelauquen.gov.ar/tramites-y-servicios/salud/,ESTIMACION con supuestos sin fuente - no es ahorro fiscal
MUN-BA-042,Pinamar,39449,presencial,44569480,178277921,831963630,4519,Para obtener el turno acercarse a la mesa de admisión del Centro de Salud u Hospital con la orden de derivación.,https://pinamar.gob.ar/salud/,ESTIMACION con supuestos sin fuente - no es ahorro fiscal
MUN-BA-087,General Alvear,37594,telefono,42473701,169894805,792842422,4519,2345 - 421635,https://munialvear.gov.ar/?page_id=6499,ESTIMACION con supuestos sin fuente - no es ahorro fiscal
MUN-BA-016,Carmen de Areco,26897,telefono,30388231,121552922,567246971,4519,CAPS Etchart (8 a 14 h) Manuel Martínez entre Av. Sarmiento y A. Díaz Tel. 2273 406052,https://carmendeareco.gob.ar/salud-ciudadana/,ESTIMACION con supuestos sin fuente - no es ahorro fiscal
MUN-BA-048,General Madariaga,22624,telefono,25560595,102242381,477131110,4519,(02267) 555222,https://www.madariaga.gob.ar/,ESTIMACION con supuestos sin fuente - no es ahorro fiscal
MUN-BA-049,Ayacucho,21977,presencial,24829615,99318458,463486139,4519,"Por consultas sobre día de atención y disponibilidad de turnos para especialidades, dirigirse a la Mesa de Entradas del Hospital Municipal.",https://ayacucho.gob.ar/?q=hospital,ESTIMACION con supuestos sin fuente - no es ahorro fiscal
MUN-BA-004,Navarro,19899,telefono,22481890,89927561,419661950,4519,CONSULTORIOS EXTERNOS 2272-400663 / 2272-430668,https://navarro.gob.ar/areas/hospital/,ESTIMACION con supuestos sin fuente - no es ahorro fiscal
MUN-BA-031,Rivadavia,19849,telefono,22425400,89701601,418607470,4519,Consultorios externos: 2392 621815 / 2337 402679,https://munirivadavia.gob.ar/salud/,ESTIMACION con supuestos sin fuente - no es ahorro fiscal
MUN-BA-084,Saladillo,13977,telefono,15791215,63164858,294769339,4519,Hospital Regional Doctor Posadas Emparanza 2800 02344-432894,https://saladillo.gob.ar/salud/,ESTIMACION con supuestos sin fuente - no es ahorro fiscal
MUN-BA-086,Roque Pérez,12631,telefono,14270504,57082015,266382738,4519,Teléfono: (02227) 49-1054,https://roqueperez.gob.ar/salud,ESTIMACION con supuestos sin fuente - no es ahorro fiscal
MUN-BA-055,Castelli,9594,telefono,10839301,43357205,202333622,4519,Nuevo sistema de turnos telefónicos,https://www.castelli.gob.ar/secretaria-de-salud/,ESTIMACION con supuestos sin fuente - no es ahorro fiscal
